,remote_hostname,company,company_website,result
2100,sensibo.com,Sensibo,sensibo.com,first-party host
2101,untappd.com,Untappd,https://untappd.com/,first-party host
2102,dedicatedpanel.com,DedicatedPanel,https://www.dedicatedpanel.com/,static server
2103,swypeconnect.com,SwypeConnect,https://swypeconnect.com/,CDN
2104,yetwp.com,YETWP,https://yetwp.com/,Unknown
2105,smartnews.com,SmartNews,https://www.smartnews.com/,news aggregation
2106,moviesanywhere.com,Movies Anywhere,moviesanywhere.com,CDN
2107,quickconnect.cn,Qihoo 360,https://www.360.cn/,CDN
2108,tenjin.io,Tenjin,https://www.tenjin.io/,analytics
2109,com.ru,,,
2110,kpn.net,KPN,https://www.kpn.com/,DNS
2111,nstorage.org,Najafov Storage,najafov.com,static server
2112,caiway.nl,Caiway,https://www.caiway.nl/,DNS
2113,tequilaboomboom.club,Tequila Boom Boom Club,tequilaboomboom.club,marketing
2114,edolphin.site,,,
2115,icn.ua,ICN,https://icn.ua/,DNS
2116,mts-chita.ru,MTS,https://www.mts.ru/,First-party host
2117,telmtproto.club,Unknown,,DNS
2118,wellhosted.ch,Wellhosted,https://www.wellhosted.ch/,Static server
2119,aspadmin.net,ASPAdmin,https://www.aspadmin.net/,First-party host
2120,steadfastdns.net,Steadfast,https://www.steadfast.net/,DNS
2121,research.com,Research.com,https://www.research.com/,analytics
2122,group-ib.com,Group-IB,https://www.group-ib.com/,security company website
2123,warezwaldo.org,,,
2124,ip-54-36-110.eu,OVH SAS,https://www.ovh.com/,DNS
2125,lazerpenguin.com,Lazer Penguin,https://www.lazerpenguin.com/,first-party host
2126,ftp.sh,FTP protocol,https://tools.ietf.org/html/rfc959,file transfer protocol used for transferring files between network hosts
2127,torrentapi.org,TorrentAPI,https://torrentapi.org/,CDN
2128,eztv.io,EZTV,https://eztv.io/,first-party host
2129,eztv.ag,EZTV,https://eztv.io/,first-party host
2130,limetorrents.info,LimeTorrents,limetorrents.info,Torrent tracking website
2131,zooqle.com,Zooqle,https://zooqle.com/,first-party host
2132,thepiratebay.org,The Pirate Bay,https://thepiratebay.org/,first-party host
2133,hypixel.net,Hypixel Studios,https://hypixelstudios.com/,first-party host
2134,syncthing.net,Syncthing,https://syncthing.net/,static server
2135,avistaz.to,Avistaz,https://avistaz.to,first-party host
2136,athom.com,Athom,athom.com,first-party host
2137,ip-192-99-14.net,OVH Hosting,https://www.ovh.com/,CDN
2138,clipperoint.com,Clipperoint,clipperoint.com,marketing
2139,t-ipconnect.de,Deutsche Telekom AG,https://www.telekom.com/en,DNS
2140,privacy-center.org,Privacy Center,privacy-center.org,DNS
2141,verisign.com,Verisign,https://www.verisign.com/,DNS
2142,gotomeeting.com,GoToMeeting,https://www.gotomeeting.com/,video conferencing and online meeting platform
2143,expertcity.com,Expertcity,https://www.expertcity.com,first-party host
