,result
first-party host,990
CDN,582
marketing,454
static server,420
DNS,216
advertising,175
analytics,144
tracking,71
e-commerce,14
Advertising,10
search engine,8
news website,7
media,7
First-party host,6
streaming service,4
API,4
VPN service provider,4
gaming,4
streaming,4
tag management system,3
security software,3
VPN Service,3
Unknown,3
ISP,3
music streaming,3
proxy server,3
URL shortening service,3
Static server,2
captive portal,2
weather forecasting,2
authentication,2
email service provider,2
news,2
tag management,2
Invalid URL,2
productivity app,2
authentication service,2
proxy network provider,2
security,2
API provider,2
payment gateway,2
proxy,2
URL Shortener,2
Static Server,2
VPN service,2
IoT Platform - first-party host,1
ticketing,1
support,1
authentication and identity verification,1
coupon website,1
customer support and chat widget,1
SSL certificate provider,1
adult entertainment website,1
third-party host,1
fact-checking website,1
news aggregator,1
authentication and authorization services,1
push notification service,1
e-commerce website,1
survey,1
meme sharing platform,1
Tracking,1
classified advertisements website,1
technology news and analysis,1
productivity tool,1
privacy management and compliance,1
torrent tracker,1
IoT network infrastructure provider,1
media server,1
news and financial information,1
technology news and reviews website (media),1
news and discussion community,1
VPN provider,1
email service,1
health and wellness content,1
Internet Service Provider,1
news media,1
security research,1
Download website (unknown purpose),1
URL shortener,1
mining pool,1
internet service provider,1
weather information and forecast,1
invalid URL,1
proxy provider,1
educational platform,1
gaming server,1
media streaming,1
video conferencing platform,1
job search platform,1
privacy management,1
IoT Platform,1
CMS (Content Management System),1
Invalid or parked domain,1
adult entertainment,1
IoT Device Manufacturer,1
gambling,1
Piracy website,1
digital news publisher,1
weather and climate tracking,1
media outlet,1
captivate portal,1
video conferencing and collaboration platform,1
shopping assistant,1
publishing,1
payment processing,1
office suite,1
adult content,1
malicious site,1
weather forecasting and information,1
"API and real-time web functionality provider (middleware) for building real-time, multi-user interactive web applications.",1
browser extension,1
social sharing and engagement,1
job listing platform,1
Analytics,1
testing or development,1
serverless computing,1
Streaming Service,1
video hosting,1
anti-bot and fraud prevention service,1
API endpoint,1
streaming radio and podcasts platform,1
HR Management,1
app store,1
research,1
storage,1
URL shortener for Google services,1
API for Tile's tracking service,1
real-time messaging and collaboration platform (First-party host),1
API host,1
gaming website,1
IoT Cloud Services,1
content sharing platform,1
remote access software,1
weather forecasting service,1
Third-party host,1
SSL certificates and security solutions,1
online learning platform,1
security software provider,1
weather and traffic tracking,1
social media,1
dating app,1
news publisher,1
email deliverability tracking,1
file transfer service,1
ticket marketplace,1
market research,1
product review and recommendation,1
Proxy Server,1
Q&A and community network,1
ticket sales and event management,1
URL shortener for Microsoft's products and services,1
financial management and budgeting (first-party host),1
media and entertainment,1
government agency,1
Tag Management / Tracking,1
real estate marketplace,1
security research and threat intelligence,1
VPN Service Provider,1
video streaming,1
e-commerce platform,1
video hosting platform,1
IoT analytics platform,1
