,remote_hostname,company,company_website,result
2300,chaturbate.com,Chaturbate,https://chaturbate.com/,adult entertainment and webcam streaming
2301,exoticads.com,ExoticAds,http://www.exoticads.com,advertising
2302,wish.com,Wish,www.wish.com,e-commerce platform
2303,adzerk.net,Adzerk,https://www.adzerk.com/,Advertising
2304,papertrailapp.com,Papertrail,https://www.papertrail.com/,analytics
2305,marketingautomation.services,Marketing Automation Services,https://marketingautomation.services/,marketing
2306,trustpilot.com,Trustpilot,https://www.trustpilot.com/,analytics
2307,samsungknowledge.com,Samsung,www.samsung.com,Analytics
2308,healthgrades.com,Healthgrades,healthgrades.com,first-party host
2309,overkiz.com,Overkiz,https://www.overkiz.com,IoT platform provider
2310,nanoleaf.me,Nanoleaf,https://nanoleaf.me/,first-party host
2311,odaconline.com,O'Daniel Automotive Group,odanielauto.com,first-party host
2312,quantcast.com,Quantcast,www.quantcast.com,Analytics
2313,nanorep.co,nanorep,https://www.nanorep.com/,marketing
2314,vrv.co,VRV,vrv.co,streaming service
2315,oraclecloud.net,Oracle Corporation,https://www.oracle.com/,CDN
2316,qualaroo.com,Qualaroo,https://qualaroo.com/,analytics
2317,coinbase.com,Coinbase,https://www.coinbase.com/,first-party host
2318,leboncoin.fr,Leboncoin,https://www.leboncoin.fr/,first-party host
2319,schibsted.io,Schibsted,https://www.schibsted.com/,CDN
2320,avis-verifies.com,Avis Vérifiés,https://www.avis-verifies.com/,marketing
2321,orange.com,Orange,https://www.orange.com/,first-party host
2322,algolia.net,Algolia,https://www.algolia.com/,CDN
2323,hs-scripts.com,Hubspot,https://www.hubspot.com/,marketing
2324,wikihow.com,WikiHow,https://www.wikihow.com/,First-party host
2325,hsappstatic.net,Hubspot,https://www.hubspot.com/,Static Server
2326,usemessages.com,Usemessages,usemessages.com,marketing
2327,bfmtv.com,BFMTV,https://www.bfmtv.com/,news and media website
2328,nettvservices.com,Net TV Services,https://www.nettvservices.com/,CDN
2329,zeasn.tv,Zeasn,https://www.zeasn.com/,first-party host
2330,tagcommander.com,Tag Commander,https://www.tagcommander.com/,analytics
2331,newegg.com,Newegg,newegg.com,e-commerce
2332,kaspersky-labs.com,Kaspersky Lab,https://www.kaspersky.com/,first-party host
2333,kaspersky.com,Kaspersky,https://www.kaspersky.com/,First-party host
2334,rach.io,Rachio,https://rachio.com/,first-party host
2335,nightowldvr.com,Night Owl Security Products,nightowlsp.com,first-party host
2336,tawk.to,tawk.to,https://www.tawk.to/,first-party host
2337,lemde.fr,Le Monde,https://www.lemonde.fr/,news website (first-party host)
2338,pocket-image-cache.com,Pocket,https://getpocket.com/,CDN
2339,cluep.com,,,
2340,spotad.co,Spotad,https://www.spotad.co/,advertising
2341,vrvm.com,Unknown,,Unknown purpose
2342,rncdn7.com,RocketNet,https://www.rocket.net/,CDN
2343,devshift.org,DevShift,devshift.org,first-party host
2344,frontiernetworks.ca,Frontier Networks,https://www.frontiernetworks.ca/,first-party host
2345,web4net.org,Web4Net,https://www.web4net.net/,static server
2346,sskru.ac.th,Suan Sunandha Rajabhat University,https://sskru.ac.th/,first-party host
2347,kas-labs.com,KAS Labs,https://www.kas-labs.com,first-party host
2348,groupme.com,GroupMe,https://groupme.com/,marketing
2349,panasonic.com,Panasonic,panasonic.com,first-party host
2350,hgtv.com,HGTV,www.hgtv.com,first-party host
2351,pypi.org,Python Software Foundation,https://www.python.org/psf-landing/,CDN
2352,dlvr.it,dlvr.it,https://dlvrit.com,marketing
2353,autofi.com,AutoFi,https://www.autofi.com/,marketing
2354,zenkube.com,ZenKube,zenkube.com,CDN
2355,wtxcdn.com,,,
2356,zentrick.com,Zentrick,zentrick.com,advertising
2357,quantummetric.com,Quantum Metric,https://www.quantummetric.com/,analytics
2358,adspsp.com,Unknown,N/A,advertising
2359,l-msedge.net,Microsoft,https://www.microsoft.com,CDN
2360,surfshark.com,Surfshark,surfshark.com,VPN provider
2361,alltrails.com,AllTrails,https://www.alltrails.com/,first-party host
2362,elta.com.tw,ELTA Technology,https://www.elta.com.tw/,CDN
2363,appbaqend.com,Baqend,https://www.baqend.com/,CDN
2364,vodafone-ip.de,Vodafone,https://www.vodafone.com/,DNS
2365,xtracloud.net,XtraNet Technologies GmbH,,static server
2366,buchholz-digital.de,Buchholz Digital,https://buchholz-digital.de/,first-party host
2367,rupertok.su,,,
2368,siftscience.com,Sift Science,www.siftscience.com,analytics
2369,ziffdavis.com,Ziff Davis,https://www.ziffdavis.com/,marketing
2370,bahnhof.net,Bahnhof,https://www.bahnhof.net/,ISP and DNS provider
2371,vmware.com,VMware,https://www.vmware.com/,first-party host
2372,edstem.org,Edstem,https://www.edstem.org/,first-party host
2373,gpsonextra.net,GPSonExtra,https://gpsonextra.net/,tracking
2374,contentabc.com,ContentABC,https://www.contentabc.com/,marketing
2375,juicer.io,Juicer,https://www.juicer.io/,marketing
2376,p2e.io,Player-to-Player Engagement,https://p2e.io/,first-party host
2377,usshc.com,United States Signal Corps Historical Society,usshc.com,static server
2378,sunpowermonitor.com,SunPower,https://www.sunpower.com/,analytics
2379,cardgamesolitaire.com,Card Game Solitaire,https://www.cardgamesolitaire.com/,first-party host
2380,cedexis-test.com,Cedexis,https://www.cedexis.com/,CDN
2381,elizabethwarren.com,Elizabeth Warren,elizabethwarren.com,First-party host
2382,pagekite.net,PageKite,https://pagekite.net/,CDN
2383,b5p.us,Bitly,https://bitly.com/,URL shortening service
2384,mydrobo.com,Drobo,https://www.drobo.com/,first-party host
2385,secu100.net,Secu100,https://secu100.net/,first-party host
2386,xmeye.net,XMEye,https://www.xmeye.net/,first-party host
2387,ckt.net,,,
2388,mynet.it,Mynet S.r.l.,https://www.mynet.it/,first-party host
2389,chartboost.com,Chartboost,https://www.chartboost.com/,advertising
2390,sc-gw.com,SC Group,https://www.scg.co.jp/,CDN
2391,airtelbroadband.in,Airtel,https://www.airtel.in/,First-party host
2392,foxneodigital.com,Foxneo Digital,https://foxneodigital.com/,marketing
2393,vivaldi.com,Vivaldi Technologies,https://vivaldi.com/,first-party host
2394,soletechnology.com,Sole Technology,https://soletechnology.com/,first-party host
2395,puregig.net,Puregig,https://puregig.net/,DNS
2396,protect-your-privacy.net,Protect Your Privacy,https://www.protect-your-privacy.net/,DNS
2397,bonzapuzzles.com,Bonza Puzzles,bonzapuzzles.com,first-party host
2398,ljusnet.se,Ljusnet,https://www.ljusnet.se/,DNS
2399,ogury.io,Ogury,https://ogury.com/,Analytics
