,Unnamed: 0,remote_hostname,company,company_website,result
0,725,uchicago.edu,The University of Chicago,https://www.uchicago.edu/,DNS
1,725,uchicago.edu,University of Chicago,www.uchicago.edu,"{'purpose': 'Education', 'type': 'Academic institution'}"
2,725,uchicago.edu,University of Chicago,https://www.uchicago.edu/,DNS
3,725,uchicago.edu,University of Chicago,https://www.uchicago.edu/,"['educational', 'institution website']"
4,1740,southwestairlines.com,Southwest Airlines,southwestairlines.com,"Airline ticket booking, reservation management, travel information, and customer support"
5,1740,southwestairlines.com,Southwest Airlines,https://www.southwest.com/,"This domain is the main website of Southwest Airlines, which serves as a platform for customers to book flights, manage reservations, check flight statuses, and access other information related to the airline industry."
6,1740,southwestairlines.com,Southwest Airlines,southwestairlines.com,"This is the official website of Southwest Airlines. It serves as a booking and reservation platform for flights, as well as a source of information for airline policies, flight schedules, destinations, and corporate information. The website also includes customer support, such as managing reservations, checking flight status, and exploring travel deals and promotions."
7,1740,southwestairlines.com,Southwest Airlines,www.southwest.com,booking and managing flights
8,2772,plus.net,Plusnet,https://www.plus.net/,Internet Service Provider (ISP)
9,2772,plus.net,Plusnet,https://www.plus.net/,Internet Service Provider (ISP)
10,2772,plus.net,Plusnet,https://www.plus.net/,"['Internet Service Provider', 'Web Hosting', 'DNS']"
11,2772,plus.net,Plusnet,https://www.plus.net/,Internet Servicer Provider (ISP)
12,1719,mycloud.com,MyCloud,https://mycloud.com,It is not possible to determine the purpose of the domain without additional information or access to the website. The domain name alone does not provide enough context to identify the specific purpose or function of the website.
13,1719,mycloud.com,Mycroft Computing,https://www.mycroft.com,It is unclear what the purpose of the domain mycloud.com is without additional information.
14,1719,mycloud.com,mycloud,https://mycloud.com,"It is unclear from the domain name alone whether the company operates a cloud storage service, provides cloud-based computing services or operates other types of online service. Further information or context is required to determine the specific purpose of the domain."
15,1719,mycloud.com,mycloud,https://mycloud.com,Unable to determine the purpose of the domain without additional information or access to the website's server configurations.
16,1116,criteo.com,Criteo,https://www.criteo.com/,Marketing/Advertising
17,1116,criteo.com,Criteo,https://www.criteo.com/,advertising
18,1116,criteo.com,Criteo,https://www.criteo.com/,marketing
19,1116,criteo.com,Criteo,criteo.com,advertising
20,3500,nayatel.pk,Nayatel,https://nayatel.pk/,Internet Service Provider
21,3500,nayatel.pk,Nayatel,https://nayatel.pk/,"{'purpose': 'Internet Service Provider', 'services': ['Fiber Optic Internet', 'Cable TV', 'IP Phone']}"
22,3500,nayatel.pk,Nayatel,https://www.nayatel.com/,"{'purpose': 'Internet Service Provider', 'services': ['Fiber Optic Internet', 'Corporate Internet', 'ICT solutions', 'Hosted Services'], 'coverage_area': ['Islamabad', 'Rawalpindi', 'Peshawar']}"
23,3500,nayatel.pk,Nayatel,https://nayatel.pk/,"FTTH Provider, offering different internet packages and services."
24,2547,switchnap.com,Switchnap,https://www.switchnap.com/,static server
25,2547,switchnap.com,Switchnap,https://www.switchnap.com/,static server
26,2547,switchnap.com,SwitchNap,https://www.switchnap.com/,data center and cloud services provider
27,2547,switchnap.com,Switch® | Data Center Operator | Build | Deploy | US and EU | Taiwan | China ,switchnap.com,"SwitchNAP's primary aim is to provide world-class data-center solutions for national ICT companies while ensuring wider Africa's evolution in line with the global IT sector norms upon planning,Tier 3 facilities implemented in DC Somalia >>[Refer : africa-business.com/Digicon-Invasive_Tech] Requires further information about the sites purpose."
28,852,airwire.ie,Airwire,https://www.airwire.ie/,Internet Service Provider (ISP)
29,852,airwire.ie,Airwire,airwire.ie,Internet Service Provider (ISP)
30,852,airwire.ie,Airwire,https://airwire.ie/,Internet Service Provider
31,852,airwire.ie,Airwire,https://airwire.ie/,It seems to be the website of the company providing internet and phone services.
32,408,boltdns.net,BoltDNS,https://boltdns.net/,DNS provider
33,408,boltdns.net,BoltDNS,https://boltdns.net/,DNS service provider
34,408,boltdns.net,BoltDNS,https://boltdns.net/,DNS hosting and management service
35,408,boltdns.net,BoltDNS,https://boltdns.net/,DNS hosting service
