,Unnamed: 0,remote_hostname,company,company_website,result
0,3325,turbooo.xyz,Unknown,,It is difficult to determine the purpose of this URL without additional information.
1,3325,turbooo.xyz,Unknown,,{'purpose': 'Unknown'}
2,1575,stackoverflow.com,Stack Overflow,https://stackoverflow.com/,First-party host
3,1575,stackoverflow.com,Stack Overflow,https://stackoverflow.com/,"{'purpose': ['Q&A forum for programmers to ask and answer technical questions.', 'Community-driven wiki for programmers to collaborate on creating and curating technical documentation.', 'Job board for technical positions.', 'Advertising platform for targeted developer audiences.'], 'services': ['Web hosting', 'Content delivery network (CDN)', 'Analytics', 'Marketing', 'User tracking', 'Third-party integrations']}"
4,1631,pushwoosh.com,Pushwoosh,https://www.pushwoosh.com/,marketing
5,1631,pushwoosh.com,Pushwoosh,https://www.pushwoosh.com/,push notifications and in-app messaging service provider
6,1600,marketwatch.com,Dow Jones & Company,https://www.dowjones.com/,financial news and analysis
7,1600,marketwatch.com,MarketWatch,https://www.marketwatch.com/,"['Financial news and stock market analysis', 'Investment information', 'Business journalism', 'Market data and research', 'Personal financial advice']"
8,2853,tryinvision.com,"InVisionApp, Inc.",https://www.invisionapp.com/,marketing
9,2853,tryinvision.com,InVision,https://www.invisionapp.com/,Design collaboration and prototyping platform
10,433,feelinsonice.com,Cloudflare,https://www.cloudflare.com/,CDN
11,433,feelinsonice.com,Cloudflare,https://www.cloudflare.com/,CDN
12,2747,supercell.net,Supercell,supercell.com,first-party host
13,2747,supercell.net,Supercell,supercell.com,"Domain used as the primary website for Supercell, a mobile game development company, to provide information about their games, company news, and job opportunities."
14,846,tivo.com,TiVo Corporation,https://www.tivo.com/,marketing
15,846,tivo.com,TiVo,https://www.tivo.com/,"{'purpose': ['marketing', 'tracking'], 'type': ['CDN'], 'content_delivery': 'Akamai'}"
16,2041,luminati.io,Luminati,https://luminati.io/,proxy network for web data extraction and online privacy solutions
17,2041,luminati.io,Luminati,https://luminati.io/,Proxy network
