Unnamed: 0,remote_hostname,company,company_website,result
500,digicert.com,DigiCert,https://www.digicert.com/,first-party host
500,digicert.com,"DigiCert, Inc.",https://www.digicert.com/,static server
741,quickbooks.com,Intuit Inc.,https://www.intuit.com/,first-party host
741,quickbooks.com,Intuit Inc.,https://www.intuit.com/,first-party host
177,mozilla.org,Mozilla,https://www.mozilla.org/,first-party host
177,mozilla.org,Mozilla,https://www.mozilla.org/,first-party host
13,amazon.com,"Amazon.com, Inc.",https://www.amazon.com/,e-commerce
13,amazon.com,Amazon,https://www.amazon.com/,first-party host
1350,samsungpositioning.com,Samsung,https://www.samsung.com/,marketing
1350,samsungpositioning.com,Samsung,https://www.samsung.com/,marketing
1301,denon.jp,Denon,https://www.denon.com/,static server
1301,denon.jp,Denon,https://www.denon.com/,first-party host
1263,pocketcasts.com,Pocket Casts,https://www.pocketcasts.com/,static server
1263,pocketcasts.com,Pocket Casts,https://www.pocketcasts.com/,first-party host
1075,ucsd.edu,University of California San Diego,https://www.ucsd.edu/,first-party host
1075,ucsd.edu,"University of California, San Diego",https://www.ucsd.edu/,first-party host
861,alexametrics.com,Amazon,https://www.amazon.com/,analytics
861,alexametrics.com,Amazon,https://www.amazon.com/,analytics
628,rhocdn.net,Rackspace Hosting,https://www.rackspace.com/,CDN
628,rhocdn.net,Rackspace Hosting,https://www.rackspace.com/,CDN
2597,yamaha.com,Yamaha,https://www.yamaha.com/,first-party host
2597,yamaha.com,Yamaha Corporation,https://www.yamaha.com/,first-party host
3034,vf.net.nz,Vodafone New Zealand,https://www.vodafone.co.nz/,CDN
3034,vf.net.nz,Vodafone New Zealand,https://www.vodafone.co.nz/,CDN
1563,nwsvr2.com,,,DNS
1563,nwsvr2.com,Unknown,,CDN
671,qwest.net,CenturyLink,https://www.centurylink.com/,DNS
671,qwest.net,CenturyLink,https://www.centurylink.com/,DNS
517,yandex.net,Yandex,https://yandex.com/,CDN
517,yandex.net,Yandex,https://yandex.com/,CDN
181,honeywell.com,Honeywell International Inc.,https://www.honeywell.com/,first-party host
181,honeywell.com,Honeywell International Inc.,https://www.honeywell.com/,first-party host
0,googleusercontent.com,Google,https://www.google.com/,CDN
0,googleusercontent.com,Google,https://www.google.com/,CDN
796,samsung-svoice.com,Samsung,www.samsung.com,marketing
796,samsung-svoice.com,Samsung,https://www.samsung.com/,marketing
965,freebox.fr,Free,https://www.free.fr/,first-party host
965,freebox.fr,Free SAS,https://www.free.fr/,first-party host
1175,bazaarvoice.com,Bazaarvoice,https://www.bazaarvoice.com/,marketing
1175,bazaarvoice.com,Bazaarvoice,https://www.bazaarvoice.com/,marketing
1338,sumologic.com,Sumo Logic,https://www.sumologic.com/,first-party host
1338,sumologic.com,Sumo Logic,https://www.sumologic.com/,marketing
2047,123freecell.com,Solitaire Games,https://www.solitaireparadise.com/,gaming
2047,123freecell.com,TreeCardGames,https://www.treecardgames.com/,static server
2675,epson.net,Epson,https://www.epson.com/,static server
2675,epson.net,Epson,https://www.epson.com/,first-party host
3384,fau.de,Friedrich-Alexander University of Erlangen-Nuremberg,https://www.fau.eu/,first-party host
3384,fau.de,Friedrich-Alexander University Erlangen-Nuremberg,https://www.fau.eu/,first-party host
3560,bosch.de,Bosch,https://www.bosch.com/,first-party host
3560,bosch.de,Bosch,https://www.bosch.com/,first-party host
3002,veloxzone.com.br,Veloxzone,https://www.veloxzone.com.br/,static server
3002,veloxzone.com.br,Veloxzone,https://www.veloxzone.com.br/,static server
2369,ziffdavis.com,Ziff Davis,https://www.ziffdavis.com/,marketing
2369,ziffdavis.com,Ziff Davis,https://www.ziffdavis.com/,marketing
1998,mmstat.com,Alibaba Group,https://www.alibaba.com/,analytics
1998,mmstat.com,Alibaba Group,https://www.alibabagroup.com/en/global/home,analytics
429,pushbullet.com,Pushbullet,https://www.pushbullet.com/,marketing
429,pushbullet.com,Pushbullet,https://www.pushbullet.com/,first-party host
25,aiv-delivery.net,AIV,https://www.aiv-inc.com/,CDN
25,aiv-delivery.net,AIV,https://www.aiv-inc.com/,CDN
241,aiv-delivery.net,AIV,https://www.aiv-inc.com/,CDN
241,ondemand.com,OnDemand,https://www.ondemand.com/,CDN
1614,wearetriple.com,Triple,https://wearetriple.com/,marketing
1614,wearetriple.com,Triple,https://wearetriple.com/,marketing
2878,cloudns.asia,Cloud DNS Ltd.,https://www.cloudns.net/,DNS
2878,cloudns.asia,Cloud DNS Ltd.,https://www.cloudns.net/,DNS
1089,gnome.org,GNOME Foundation,https://www.gnome.org,first-party host
1089,gnome.org,GNOME Foundation,https://www.gnome.org/about/,first-party host
2973,logantele.com,Logantel,https://www.logantele.com/,CDN
2973,logantele.com,Logan Teleflex Inc.,https://www.logantele.com/,static server
2281,snopes.com,Snopes Media Group,https://www.snopes.com/,fact-checking website
2281,snopes.com,Snopes Media Group,http://www.snopesmedia.com/,fact-checking
823,instabug.com,Instabug,https://instabug.com/,marketing
823,instabug.com,Instabug,https://instabug.com/,analytics
322,google.ca,Google,https://www.google.com/,first-party host
322,google.ca,Google,https://www.google.com/,search engine
1829,sync.com,Sync.com,https://www.sync.com/,CDN
1829,sync.com,Sync.com,https://www.sync.com,CDN
2962,surfer.at,Surfer SEO,https://surferseo.com/,marketing
2962,surfer.at,Surfer,https://surfer.at/,first-party host
3289,mywire.org,,,
3289,mywire.org,,,DNS
3539,vylmedia.com,VYL Media,https://www.vylmedia.com/,marketing
3539,vylmedia.com,Vyl Media,https://www.vylmedia.com/,marketing
1573,tubi.io,"Tubi, Inc.",https://tubi.tv/,CDN
1573,tubi.io,"Tubi, Inc.",https://tubi.tv/,CDN
921,ecouser.net,Eco User,https://ecouser.net/,CDN
921,ecouser.net,EcoUser,https://ecouser.net/,tracking
591,cdk.com,CDK Global,https://www.cdkglobal.com/,first-party host
591,cdk.com,CDK Global,https://www.cdkglobal.com/,first-party host
220,jtvnw.net,Fastly,https://www.fastly.com/,CDN
