,remote_hostname,company,company_website,result
1300,skyegloup.com,,,
1301,denon.jp,Denon,https://www.denon.com/,first-party host
1302,thetvdb.com,TheTVDB,https://thetvdb.com/,first-party host
1303,telekom.at,Telekom Austria Group,https://www.a1.group/en/home,first-party host
1304,algartelecom.com.br,Algar Telecom,https://www.algartelecom.com.br/,first-party host
1305,epm.net.co,EPM,https://www.epm.com.co,First-party host
1306,etraining.co,eTraining,etraining.co,First-party host
1307,weather.gc.ca,Environment and Climate Change Canada,https://www.canada.ca/en/environment-climate-change.html,static server
1308,4seeresults.com,4SeeResults,https://www.4seeresults.com/,marketing
1309,siteimproveanalytics.io,Siteimprove,https://siteimprove.com/,analytics
1310,foresee.com,ForeSee,foresee.com,analytics
1311,scruffapp.com,"Perry Street Software, Inc.",https://www.perrystreet.com/,first-party host
1312,digitalgov.gov,DigitalGov,https://digital.gov/,first-party host
1313,weather.gov,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,weather forecasting and information
1314,atlassian.net,Atlassian,https://www.atlassian.com/,CDN
1315,siteimproveanalytics.com,Siteimprove,https://siteimprove.com/,analytics
1316,zwyr157wwiu6eior.com,,,
1317,zdf.de,ZDF,https://www.zdf.de/,first-party host
1318,ioam.de,INFOnline GmbH,https://www.infonline.de/,analytics
1319,rdsnet.ro,RDSNET,https://www.rdsnet.ro/,DNS
1320,simpli.fi,Simpli.fi,https://www.simpli.fi/,advertising
1321,adition.com,ADITION,https://www.adition.com/,advertising
1322,lgeapi.com,LG Electronics,https://www.lg.com,API endpoint for LG Electronics products and services
1323,channel5.com,Channel 5 Broadcasting Ltd,www.channel5.com,first-party host
1324,optusnet.com.au,Optus,https://www.optus.com.au/,first-party host
1325,driverupdate.net,Slimware Utilities,https://slimwareutilities.com/,advertising
1326,blueconic.net,BlueConic,https://www.blueconic.com/,Marketing
1327,realvu.net,RealVu Inc.,https://realvu.net/,Advertising
1328,sleeknote.com,Sleeknote,https://sleeknote.com/,marketing
1329,cludo.com,Cludo,https://www.cludo.com/,marketing
1330,radiantmediatechs.com,Radiant Media Technologies,www.radiantmediatechs.com,static server
1331,eset.com,ESET,https://www.eset.com/,first-party host
1332,githubassets.com,GitHub,https://github.com/,CDN
1333,4vendeta.com,4vendeta,https://www.4vendeta.com/,marketing
1334,cohesionapps.com,Cohesion Apps,https://www.cohesionapps.com/,first-party host
1335,kargo.com,Kargo,https://kargo.com/,Advertising
1336,sesupdate.com,Microsoft,https://www.microsoft.com/,CDN
1337,economist.com,The Economist,economist.com,news and current affairs
1338,sumologic.com,Sumo Logic,https://www.sumologic.com,analytics
1339,vzw.com,Verizon Wireless,vzw.com,first-party host
1340,datadoghq.com,Datadog,https://www.datadoghq.com/,analytics
1341,shazam.com,Shazam Entertainment Limited,www.shazam.com,marketing
1342,stackpathdns.com,StackPath,https://www.stackpath.com/,DNS
1343,ua.com,UA,https://www.underarmour.com,first-party host
1344,affec.tv,AffecTV,https://www.affec.tv/,advertising
1345,test-app.link,Branch,https://branch.io/,Deep linking platform for mobile apps
1346,edgedatg.com,Akamai Technologies,https://www.akamai.com/,CDN
1347,freshchat.com,Freshworks,https://www.freshworks.com/,marketing
1348,classdojo.com,ClassDojo,https://www.classdojo.com/,first-party host
1349,hiyaapi.com,Hiya,hiya.com,analytics
1350,samsungpositioning.com,Samsung,www.samsung.com,tracking
1351,marfeel.com,Marfeel,https://www.marfeel.com/,CDN
1352,herokuspace.com,Heroku,https://www.heroku.com/,CDN
1353,sublink.org,,,
1354,protonmail.ch,Proton Technologies AG,https://protonmail.com/,First-party host
1355,theatlantic.com,The Atlantic,https://www.theatlantic.com/,first-party host
1356,cloud-home.me,Cloud Home,https://cloud-home.me/,First-party host
1357,nict.jp,National Institute of Information and Communications Technology,https://www.nict.go.jp/en/,DNS
1358,airable.io,airable,https://www.airable.io/,analytics
1359,deviantart.net,DeviantArt,https://www.deviantart.com/,CDN
1360,crazyegg.com,Crazy Egg,https://www.crazyegg.com/,analytics
1361,wink.com,"Wink Labs, Inc.",https://www.wink.com/,first-party host
1362,simplisafe.com,SimpliSafe,https://simplisafe.com/,first-party host
1363,talkable.com,Talkable,https://www.talkable.com/,marketing
1364,mopinion.com,Mopinion,https://mopinion.com/,Analytics
1365,entrust.net,Entrust,https://www.entrust.com/,DNS
1366,mediaset.it,Mediaset,https://www.mediaset.it,First-party host
1367,wuaki.tv,Wuaki,https://www.wuaki.tv/,streaming service
1368,chili.com,Chili,https://www.chili.com/,marketing
1369,mediaset.net,Mediaset,https://www.mediaset.it/,first-party host
