,remote_hostname,company,company_website,result
3200,brightspotcdn.com,Brightspot,https://www.brightspot.com/,CDN
3201,symbiant.io,Symbiant,https://symbiant.io/,It is not possible to determine the purpose of the domain without further information or access to the website's server logs.
3202,wfu.edu,Wake Forest University,https://www.wfu.edu/,DNS
3203,jobcase.com,Jobcase,https://www.jobcase.com/,"Jobcase is a platform that helps connect job seekers and employers. The domain is likely used for various purposes such as job postings, networking, and career resources. Based on the website's functionality, it appears that the domain is used for marketing, analytics, and a static server for hosting content."
3204,mainframe2.com,Mainframe2,https://www.mainframe2.com/,It is unclear what the purpose of the domain is without further information.
3205,myfoscam.com,Foscam,https://www.foscam.com/,The purpose of the domain is to provide access to Foscam cameras remotely through the internet. It is primarily used for surveillance and security purposes.
3206,p85.live,Unknown,,Unknown domain purpose
3207,tinkercad.com,Tinkercad,https://www.tinkercad.com/,{'CAD': 'Computer-aided design tool for creating 3D models and circuits online'}
3208,anker-in.com,Anker Innovations Limited,https://www.anker.com/,"It is not possible to determine the purpose of the domain without further information or analysis. Anker Innovations Limited is a consumer electronics brand that offers various products such as chargers, cables, audio devices, and more. The domain could potentially be for their corporate website or for a specific product or service they offer."
3209,eufylife.com,Eufy,https://www.eufylife.com/,"The purpose of the domain is to showcase and sell Eufy's home security and automation products, such as smart cameras, video doorbells, and robot vacuums."
3210,evergreen.space,Evergreen Space Museum,https://www.evergreenmuseum.org/,static server
3211,pushover.net,Pushover,https://pushover.net/,Push notification service
3212,cprapid.com,CPRapid,https://cprapid.com/,"It is not possible to determine the purpose of the domain just from the company name or website. It could potentially be related to CPR (cardiopulmonary resuscitation) training or a completely different industry. Without further information, the purpose of the domain cannot be accurately identified."
3213,channeladvisor.com,ChannelAdvisor,https://www.channeladvisor.com/,"The purpose of the domain is to provide e-commerce solutions such as marketing, advertising, and analytics for online retailers."
3214,rainmachine.com,RainMachine,https://www.rainmachine.com/,IoT device for smart irrigation control with cloud integration.
3215,fedoraproject.org,Fedora Project,https://getfedora.org/,DNS
3216,phuket.com,Phuket.com,https://www.phuket.com/,Marketing and Tourism
3217,multidoge.org,Multidoge,https://multidoge.org/,Blockchain and Cryptocurrency
3218,abuse.ch,abuse.ch,https://abuse.ch/,abuse tracking and mitigation
3219,nouvelobs.com,Nouvel Observateur,https://www.nouvelobs.com/,news and information website
3220,ibroadlink.com,BroadLink,ibroadlink.com,"It is the official website of BroadLink which provides smart home solutions. The website provides information about their products, services, and also allows users to purchase the products directly from their website."
3221,broadlink.com.cn,BroadLink,broadlink.com.cn,"It is the official website of BroadLink, a company that specializes in smart home automation systems, including smart plugs, switches, and sensors. This domain serves as a marketing and product information platform for the company's products and services."
3222,lswf.net,LSWF,http://www.lswf.net/,It is not possible to determine the purpose of the domain with the given information.
3223,tplinknbu.com,TP-Link,https://www.tp-link.com,DNS
3224,adroll.com,AdRoll,https://www.adroll.com/,"['marketing', 'advertising', 'retargeting']"
3225,gandi.net,Gandi,https://www.gandi.net/,DNS and domain registration services
3226,telegraph.co.uk,The Telegraph,https://www.telegraph.co.uk/,"{'purpose': ['news', 'media'], 'CDN': True, 'DNS': True, 'static_server': True}"
3227,wemo2.com,Wemo,https://www.wemo.com/,"It is not possible to accurately determine the purpose of wemo2.com without further information. It could be a subdomain used for testing or development purposes, or it could be related to a specific product or service offered by Wemo."
3228,admarvel.com,AdMarvel,https://www.admarvel.com/,AdMarvel provides mobile advertising solutions to publishers and advertisers.
3229,tfgco.com,TFG Co.,tfgco.com,Unable to determine the purpose of the domain based on the provided information.
3230,nanit.com,Nanit,https://www.nanit.com,"tracking, analytics"
3231,hotbl.xyz,Unknown,,Unknown purpose
3232,zype.com,Zype,https://www.zype.com/,Video content management and distribution platform
3233,naleapprength.xyz,,,This domain name appears to be suspicious and possibly used for malicious activities such as phishing or malware distribution. It is recommended to avoid accessing this domain.
3234,vbspbx.com,VBSPBX,vbspbx.com,It is not possible to determine the purpose of the domain as there is no content on the website.
3235,ozarksgo.net,OzarksGo,https://www.ozarksgo.net/,DNS
3236,easy4ipcloud.com,Easy4ip Cloud,https://www.easy4ipcloud.com/,It appears to be a cloud service provider with a focus on security and surveillance products. It is possible that their domain is used for DNS and possibly for hosting their website and other cloud services.
3237,alienvault.cloud,AlienVault,https://www.alienvault.com,"It is not possible to determine the purpose of the domain alienvault.cloud without further information. The domain may be used for a variety of purposes, including hosting a website, providing cloud-based services or storage, or for other network-related activities."
3238,baobei.co.uk,Baobei,baobei.co.uk,It is not possible to determine the purpose of this domain without further information.
3239,orbwebsys.com,OrbWebSys Ltd.,https://www.orbwebsys.com/,It is not possible to determine the purpose of the domain without more information or access to the website.
