,remote_hostname,company,company_website,result
400,nintendo.net,Nintendo,https://www.nintendo.com/,DNS
401,virginm.net,Virgin Media,https://www.virginmedia.com,Domain used for company's email service.
402,onedrive.com,Microsoft Corporation,https://www.microsoft.com,Cloud File Storage
403,cloudflare.com,Cloudflare,www.cloudflare.com,"CDN, DNS, DDoS protection, security services and analytics"
404,windows.com,Microsoft Corporation,https://www.microsoft.com/,DNS
405,brightcove.net,Brightcove,https://www.brightcove.com/,CDN (Content Delivery Network)
406,brightcove.com,Brightcove,https://www.brightcove.com/,CDN
407,discord.gg,Discord,https://discord.com/,Communication and community building platform for gamers.
408,boltdns.net,BoltDNS,https://boltdns.net,DNS
409,steampowered.com,Steam,https://www.steampowered.com/,"{'purpose': ['Digital distribution platform for video games', 'Community platform for gamers'], 'services': ['CDN', 'Authentication', 'API gateway']}"
410,twitch.tv,"Twitch Interactive, Inc.",https://www.twitch.tv/,Live video streaming platform for gamers and other creatives
411,salesforce.com,Salesforce,https://www.salesforce.com/,"CRM (Customer Relationship Management) and cloud computing platform used for sales, service, marketing, and analytics purposes."
412,twitchcdn.net,"Twitch Interactive, Inc.",https://www.twitch.tv/,CDN
413,siteforce.com,SiteForce,https://www.siteforce.com/,It is not possible to determine the purpose of the domain as the website is currently not functional.
414,transacme.com,Transacme,https://www.transacme.com/,It is not possible to determine the purpose of the domain without further information.
415,tuyaus.com,Unknown,Unknown,Unable to determine the purpose of the domain
416,2o7.net,Adobe,https://www.adobe.com/,tracking
417,ihrhls.com,Unknown,,Unable to determine the purpose of the domain
418,iheart.com,iHeartMedia,https://www.iheartmedia.com/,radio streaming and digital music service
419,zillowstatic.com,Zillow Group,https://www.zillowgroup.com,static server
420,gumgum.com,GumGum,https://gumgum.com/,advertising
421,tailtarget.com,TailTarget,https://www.tailtarget.com/,Marketing
422,doordash.com,DoorDash,https://www.doordash.com/,Food delivery service
423,aiv-cdn.net,AIV,https://www.aiv.de,CDN
424,as13285.net,TalkTalk Communications Limited,https://www.talktalkgroup.com/,DNS
425,live.com,Microsoft Corporation,https://www.microsoft.com/,Email and messaging service
426,meethue.com,Philips,https://www.philips.com/,The domain meethue.com is used as a marketing and sales platform for Philips Hue smart lighting products.
427,tplinkra.com,TP-Link,www.tp-link.com,"Domain name for TP-Link routers which are used for network management, configuration, and security purposes."
428,tplinkcloud.com,TP-Link,www.tp-link.com,Cloud service for managing TP-Link networking devices remotely.
429,pushbullet.com,Pushbullet,https://www.pushbullet.com/,"A platform for sending and receiving notifications, links, files, and more between devices and friends."
430,nist.gov,National Institute of Standards and Technology,www.nist.gov,Government research agency
431,fungames-forfree.com,Fun Games for Free,https://www.fungames-forfree.com/,{'purpose': ['Gaming']}
432,tunein.com,TuneIn,https://tunein.com/,audio streaming and podcast hosting platform
433,feelinsonice.com,Cloudflare,https://www.cloudflare.com/,CDN
434,adblockplus.org,Adblock Plus,https://adblockplus.org/,"The purpose of the domain is to provide information and download links for Adblock Plus, a browser extension used for blocking online advertisements."
435,tuyaeu.com,Unknown,,Unable to determine the purpose of this domain as no website is associated with it.
436,bamgrid.com,BamTech Media,https://bamtechmedia.com/,CDN
437,babbel.com,Babbel,https://www.babbel.com/,The purpose of the domain is providing language learning services to users.
438,presage.io,Presage.io,https://presage.io/,analytics
439,worldlifestyle.com,World Lifestyle,www.worldlifestyle.com,"The purpose of the domain appears to be publishing content related to lifestyle, including articles on health, travel, food, and fashion. It may also have advertising and marketing components to generate revenue."
440,irobotapi.com,iRobot,https://www.irobot.com/,It is not possible to determine the purpose of the domain without further information.
441,pbs.org,PBS,https://www.pbs.org/,"{'purpose': ['Static Server', 'Streaming Video']}"
442,mlbstatic.com,Major League Baseball Advanced Media,https://www.mlb.com,static server
443,datadome.co,Datadome,https://www.datadome.co/,CDN and Bot Protection
444,githubusercontent.com,GitHub,https://github.com/,static server
445,tmdb.org,The Movie Database (TMDb),https://www.themoviedb.org/,"The purpose of this domain is to serve as a database for information related to movies and TV shows. It provides APIs to access movie and TV show data, including information about cast and crew, reviews, and ratings. The domain also hosts a website where users can browse and search for movies and TV shows, create watchlists, and contribute to the database by adding new movies or editing existing ones. Therefore, it falls under the category of content management and information database."
446,github.com,GitHub,https://github.com/,Code hosting and version control platform
447,opendns.com,OpenDNS,https://www.opendns.com/,DNS
448,bit.nl,BIT,https://www.bit.nl/,Data center hosting and network services
449,amplitude.com,Amplitude,https://amplitude.com,Analytics
